ATE,Error_ATE,Error_PEHE,Problem
4.546992,0.251711,1.139649,IHDP 521
7.205437,0.415544,2.654914,IHDP 522
4.100003,0.368993,0.972262,IHDP 523
5.564155,0.180547,2.143946,IHDP 524
3.961187,0.438103,0.699215,IHDP 525
3.922372,0.03016,0.951039,IHDP 526
3.666779,0.116726,0.827524,IHDP 527
4.080978,0.388941,0.774611,IHDP 528
4.239037,0.327834,2.503078,IHDP 529
4.276451,0.135218,1.734293,IHDP 530
4.194583,0.273234,1.599653,IHDP 531
4.145627,0.516395,3.030807,IHDP 532
4.018788,0.030819,1.098675,IHDP 533
4.016957,0.042737,0.366189,IHDP 534
4.53559,0.39028,1.272085,IHDP 535
4.795425,0.056669,1.420395,IHDP 536
3.998326,0.110447,0.757356,IHDP 537
6.836235,0.370935,1.54399,IHDP 538
4.020142,0.189708,0.600543,IHDP 539
4.027783,0.491678,3.900778,IHDP 540
6.722059,0.090506,3.056183,IHDP 541
3.996629,0.235284,0.772903,IHDP 542
4.139847,0.208077,1.306207,IHDP 543
3.374866,0.124841,0.576202,IHDP 544
4.080689,0.017031,0.305756,IHDP 545
3.841677,0.273912,1.095733,IHDP 546
3.570799,0.447478,0.847802,IHDP 547
3.754618,0.091955,1.044701,IHDP 548
4.081547,0.260808,1.095692,IHDP 549
4.015217,0.093565,0.570142,IHDP 550
3.269589,0.268057,0.6904,IHDP 551
5.15471,0.099859,0.977925,IHDP 552
6.157284,0.31462,2.503131,IHDP 553
3.999185,0.17968,1.365224,IHDP 554
4.609062,0.497738,1.052177,IHDP 555
3.890748,0.284698,0.568637,IHDP 556
3.949429,0.219475,1.678954,IHDP 557
4.606179,0.160854,0.381419,IHDP 558
4.216016,0.606923,2.132299,IHDP 559
3.369394,0.03688,0.374251,IHDP 560
4.330683,0.058684,0.594059,IHDP 561
4.898163,0.116485,1.35182,IHDP 562
3.546638,0.172625,0.623276,IHDP 563
3.382015,0.227548,0.870751,IHDP 564
4.885822,0.043859,0.714723,IHDP 565
4.81859,0.291036,3.497965,IHDP 566
3.622562,0.098673,1.12424,IHDP 567
3.907024,0.204156,0.805604,IHDP 568
5.033784,0.170435,0.5792,IHDP 569
3.922057,0.224908,1.491697,IHDP 570
4.166453,0.160339,0.562075,IHDP 571
4.084237,0.355861,0.935307,IHDP 572
4.054365,0.144354,0.543465,IHDP 573
3.037307,0.28496,2.176966,IHDP 574
8.869713,0.285068,9.243402,IHDP 575
3.959693,0.202423,1.086919,IHDP 576
3.050253,0.381801,1.237714,IHDP 577
3.765867,0.319144,0.678712,IHDP 578
3.996139,0.137966,0.773674,IHDP 579
5.580603,0.308995,0.898796,IHDP 580
3.878686,0.004914,0.459073,IHDP 581
4.439105,0.101509,1.020763,IHDP 582
4.135261,0.150229,0.573795,IHDP 583
4.487806,0.10934,1.015913,IHDP 584
3.978993,0.302111,1.118742,IHDP 585
4.722149,0.10332,0.59151,IHDP 586
4.156268,0.141774,0.779371,IHDP 587
-4.637176,2.475376,282.697382,IHDP 588
4.243372,0.075285,1.057479,IHDP 589
3.254247,0.329178,1.534834,IHDP 590
5.442333,0.391528,0.799064,IHDP 591
4.534311,0.350632,1.403805,IHDP 592
4.080917,0.200087,0.881523,IHDP 593
2.636799,0.065995,1.916644,IHDP 594
3.633806,0.137629,1.51215,IHDP 595
4.373752,0.015342,0.941835,IHDP 596
4.037209,0.133346,0.788994,IHDP 597
4.01534,0.395432,1.653423,IHDP 598
3.889182,0.195453,1.062139,IHDP 599
5.826061,0.188607,1.822498,IHDP 600
4.807439,0.104871,1.072259,IHDP 601
3.696565,0.367607,0.720343,IHDP 602
4.086471,0.198392,1.056308,IHDP 603
4.233245,0.098883,0.933423,IHDP 604
3.930943,0.066184,0.337251,IHDP 605
3.928041,0.076656,0.58025,IHDP 606
3.897389,0.286123,0.503786,IHDP 607
6.287421,0.277974,0.893104,IHDP 608
3.971515,0.270563,0.984235,IHDP 609
3.98038,0.196126,1.010958,IHDP 610
4.054829,0.043124,0.711551,IHDP 611
5.114136,0.421224,1.920537,IHDP 612
3.428223,0.320671,0.995575,IHDP 613
3.938097,0.249216,1.284496,IHDP 614
4.299617,0.27446,1.236503,IHDP 615
5.002321,0.249873,0.983954,IHDP 616
4.204315,0.387552,0.564894,IHDP 617
1.516835,1.473968,44.171604,IHDP 618
4.33635,0.25466,2.505408,IHDP 619
3.874284,0.506734,1.363513,IHDP 620
2.123021,0.231768,9.809344,IHDP 621
3.932839,0.063928,0.740417,IHDP 622
4.588096,0.176494,0.912991,IHDP 623
3.510881,0.001912,1.156131,IHDP 624
4.290535,0.106412,1.327618,IHDP 625
2.790944,0.135772,2.114211,IHDP 626
4.221297,0.016508,1.255643,IHDP 627
4.03544,0.256338,0.63003,IHDP 628
3.652032,0.187143,0.633667,IHDP 629
6.02839,0.129557,0.52745,IHDP 630
4.30118,0.337233,1.177767,IHDP 631
